run_number	pmt_id	pedestal	gain
100102	4	6239.760	6587.470
100102	5	4069.390	4443.920
100102	6	5593.080	5872.800
100102	7	3673.880	4001.180
100102	8	5986.620	6273.070
100102	9	4885.580	5143.770
100103	0	5815.890	6123.230
100103	1	5763.380	6065.520
100103	2	6351.290	6672.100
100103	3	3782.170	4073.070
100103	4	6255.640	6602.830
100103	5	4084.560	4462.800
100103	6	5610.220	5890.840
100103	7	3697.410	4022.430
100103	8	5997.320	6286.360
100103	9	4916.430	5190.060
100104	0	5781.320	6086.480
100104	1	5729.780	6037.710
100104	2	6333.740	6649.420
100104	3	3754.280	4057.770
100104	4	6231.650	6578.790
100104	5	4059.860	4440.280
100104	6	5568.770	5847.510
100104	7	3655.530	3982.550
100104	8	5984.110	6285.970
100104	9	4858.580	5152.680
100105	0	5820.550	6118.070
100105	1	5778.120	6093.070
100105	2	6371.470	6681.760
100105	3	3789.530	4095.640
100105	4	6258.430	6606.950
100105	5	4085.760	4473.540
100105	6	5609.670	5885.530
100105	7	3700.690	4032.780
100105	8	5998.350	6295.300
100105	9	4918.540	5196.620
100108	0	5820.730	6134.670
100108	1	5758.980	6082.560
100108	2	6350.800	6673.120
100108	3	3780.880	4097.990
100108	4	6242.070	6594.070
100108	5	4083.930	4461.410
100108	6	5603.560	5872.800
100108	7	3698.430	4013.510
100108	8	5999.980	6303.300
100108	9	4907.310	5190.350
100110	0	5825.800	6132.260
100110	1	5750.220	6060.920
100110	2	6360.360	6675.980
100110	3	3786.980	4104.450
100110	4	6248.100	6596.200
100110	5	4071.560	4440.430
100110	6	5600.660	5874.720
100110	7	3709.980	4034.940
100110	8	6002.000	6286.010
100110	9	4924.790	5202.490
100112	0	5796.990	6105.350
100112	1	5733.870	6045.580
100112	2	6351.590	6678.760
100112	3	3766.230	4094.090
100112	4	6240.900	6582.780
100112	5	4049.970	4418.980
100112	6	5571.180	5853.390
100112	7	3676.280	4028.330
100112	8	5987.390	6281.260
100112	9	4883.940	5085.790
100113	0	5816.340	6137.680
100113	1	5755.820	6077.040
100113	2	6364.090	6678.080
100113	3	3783.940	4087.240
100113	4	6254.830	6599.960
100113	5	4065.340	4436.370
100113	6	5594.900	5874.080
100113	7	3699.450	4020.390
100113	8	5998.120	6294.580
100113	9	4918.520	5200.250
100114	0	5815.360	6143.610
100114	1	5745.980	6059.130
100114	2	6361.460	6674.620
100114	3	3777.770	4088.940
100114	4	6250.720	6593.460
100114	5	4057.990	4463.630
100114	6	5583.180	5862.520
100114	7	3693.820	4013.910
100114	8	5990.730	6270.940
100114	9	4898.560	5179.520
100115	0	5820.500	6132.880
100115	1	5747.540	6072.410
100115	2	6364.050	6684.090
100115	3	3790.120	4104.710
100115	4	6256.940	6598.590
100115	5	4061.900	4452.630
100115	6	5600.220	5880.270
100115	7	3706.140	4022.820
100115	8	5997.020	6287.730
100115	9	4923.350	5217.000
100116	0	5825.340	6138.890
100116	1	5754.880	6075.540
100116	2	6372.820	6691.820
100116	3	3790.400	4103.550
